Activities,"Average hours per day spent"
"Total, all activities",24
"Personal care activities",9.44
"– Sleeping",8.73
"Eating and drinking",1.07
"Household activities",2.5
"– Housework",1
"– Food preparation and cleanup",1.14
"– Lawn and garden care",0.05
"– Household management",0.15
"Purchasing goods and services",0.65
"– Consumer goods purchases",0.34
"– Professional and personal care services",0.07
"Caring for and helping household members",2.82
"– Caring for and helping household children",2.48
"Caring for and helping nonhousehold members",0.11
"– Caring for and helping nonhousehold adults",0.06
"Working and work-related activities",2.95
"– Working",2.71
"Educational activities",0.17
"– Attending class",–
"– Homework and research",0.12
"Organizational, civic, and religious activities",0.26
"– Religious and spiritual activities",0.12
"– Volunteering (organizational and civic activities)",0.09
"Leisure and sports",3.56
"– Socializing and communicating",0.56
"– Watching television",1.82
"– Participating in sports, exercise, and recreation",0.2
"Telephone calls, mail, and e-mail",0.1
"Other activities, not elsewhere classified",0.37
