"Leisure and sports activities","Average hours per day spent"
All,3.99
"Participating in sports, exercise and recreation",0.27
"Socializing and communicating",0.59
"Watching TV",2.03
Reading,0.16
Relaxing/thinking,0.3
"Playing games and computer use for leisure",0.28
"Other leisure and sports activities, including travel",0.37
