"Leisure and sports activities","Average hours per day spent"
All,5.45
"Participating in sports, exercise and recreation",0.25
"Socializing and communicating",0.67
"Watching TV",3.24
Reading,0.28
Relaxing/thinking,0.38
"Playing games and computer use for leisure",0.22
"Other leisure and sports activities, including travel",0.4
