"Leisure and sports activities","Average hours per day spent"
All,4.91
"Participating in sports, exercise and recreation",0.6
"Socializing and communicating",0.55
"Watching TV",2.22
Reading,0.1
Relaxing/thinking,0.19
"Playing games and computer use for leisure",0.81
"Other leisure and sports activities, including travel",0.46
