"Leisure and sports activities","Average hours per day spent"
All,4.28
"Participating in sports, exercise and recreation",0.33
"Socializing and communicating",0.65
"Watching TV",1.99
Reading,0.12
Relaxing/thinking,0.24
"Playing games and computer use for leisure",0.52
"Other leisure and sports activities, including travel",0.42
