"Leisure and sports activities","Average hours per day spent"
All,5.19
"Participating in sports, exercise and recreation",0.31
"Socializing and communicating",0.64
"Watching TV",2.81
Reading,0.27
Relaxing/thinking,0.31
"Playing games and computer use for leisure",0.43
"Other leisure and sports activities, including travel",0.42
