"Primary activities","Average hours per day spent"
"Personal care activities",9.65
"Eating and drinking",1.28
"Household activities",2.86
"Purchasing goods and services",1.13
"Caring for and helping household members",0.23
"Caring for and helping nonhousehold members",0.36
"Working and workrelated activities",0.72
"Educational activities",–
"Organizational, civic, and religious activities",0.62
"Leisure and sports",6.56
"Telephone calls, mail, and e-mail",0.3
"Other activities, not elsewhere classified",0.28
