"Primary activities","Average hours per day spent"
"Personal care activities",9.42
"Eating and drinking",1.29
"Household activities",1.83
"Purchasing goods and services",0.81
"Caring for and helping household members",0.07
"Caring for and helping nonhousehold members",0.33
"Working and workrelated activities",1.53
"Educational activities",–
"Organizational, civic, and religious activities",0.52
"Leisure and sports",7.73
"Telephone calls, mail, and e-mail",0.18
"Other activities, not elsewhere classified",0.28
