"Leisure and sports activities ","Average hours per day spent"
All,4.86
"Participating in sports, exercise and recreation",0.23
"Socializing and communicating",0.66
"Watching TV",2.64
Reading,0.31
Relaxing/thinking,0.31
"Playing games and computer use for leisure",0.31
"Other leisure and sports activities, including travel",0.41
