"Leisure and sports activities","Average hours per day spent"
All,5.53
"Participating in sports, exercise and recreation",0.39
"Socializing and communicating",0.62
"Watching TV",3
Reading,0.23
Relaxing/thinking,0.32
"Playing games and computer use for leisure",0.55
"Other leisure and sports activities, including travel",0.42
