"Primary activities","Average hours per day spent"
"Personal care activities",9.14
"Eating and drinking",1.24
"Household activities",1.8
"Purchasing goods and services",0.68
"Caring for and helping household members",0.16
"Caring for and helping nonhousehold members",0.25
"Working and workrelated activities",4.52
"Educational activities",–
"Organizational, civic, and religious activities",0.28
"Leisure and sports",5.62
"Telephone calls, mail, and e-mail",0.11
"Other activities, not elsewhere classified",0.21
