"Primary activities","Average hours per day spent"
"Personal care activities",9.84
"Eating and drinking",1.42
"Household activities",1.99
"Purchasing goods and services",0.88
"Caring for and helping household members",0.11
"Caring for and helping nonhousehold members",0.15
"Working and workrelated activities",0.53
"Educational activities",–
"Organizational, civic, and religious activities",0.37
"Leisure and sports",8.15
"Telephone calls, mail, and e-mail",0.2
"Other activities, not elsewhere classified",0.36
