Activities,"Average hours per day spent"
"Total, all activities",24
"Personal care activities",9.16
"– Sleeping",8.52
"Eating and drinking",1.18
"Household activities",1.23
"– Housework",0.22
"– Food preparation and cleanup",0.4
"– Lawn and garden care",0.19
"– Household management",0.1
"Purchasing goods and services",0.67
"– Consumer goods purchases",0.32
"– Professional and personal care services",0.05
"Caring for and helping household members",0.58
"– Caring for and helping household children",0.39
"Caring for and helping nonhousehold members",0.11
"– Caring for and helping nonhousehold adults",0.05
"Working and work-related activities",5.8
"– Working",5.2
"Educational activities",0.19
"– Attending class",–
"– Homework and research",0.1
"Organizational, civic, and religious activities",0.26
"– Religious and spiritual activities",0.1
"– Volunteering (organizational and civic activities)",0.12
"Leisure and sports",4.58
"– Socializing and communicating",0.67
"– Watching television",2.31
"– Participating in sports, exercise, and recreation",0.27
"Telephone calls, mail, and e-mail",0.07
"Other activities, not elsewhere classified",0.19
