"Leisure and sports activities","Average hours per day spent"
All,7.1
"Participating in sports, exercise and recreation",0.24
"Socializing and communicating",0.64
"Watching TV",4.48
Reading,0.53
Relaxing/thinking,0.43
"Playing games and computer use for leisure",0.33
"Other leisure and sports activities, including travel",0.45
