"Leisure and sports activities","Average hours per day spent"
All,7.67
"Participating in sports, exercise and recreation",0.2
"Socializing and communicating",0.7
"Watching TV",4.77
Reading,0.73
Relaxing/thinking,0.52
"Playing games and computer use for leisure",0.43
"Other leisure and sports activities, including travel",0.31
