"Leisure and sports activities","Average hours per day spent"
All,5.34
"Participating in sports, exercise and recreation",0.56
"Socializing and communicating",0.76
"Watching TV",2.04
Reading,0.13
Relaxing/thinking,0.24
"Playing games and computer use for leisure",1.12
"Other leisure and sports activities, including travel",0.49
